0.002,3.54923,-0.10501,3.31794,2.15219,0.00246407,3.40365,-0.124437,0,0.213865,0.0376989,0,0.00942472
0.004,3.87201,-0.105011,3.36998,2.15219,0.00246407,3.40365,-0.0714524,0,0.166332,0.0753962,0,0.0188491
0.006,3.63822,-0.105012,3.37941,2.15219,0.00246407,3.40365,-0.03383,0,0.129033,0.113091,0,0.0282727
0.008,3.81965,-0.219034,3.38915,2.15338,0.00247368,3.40397,-0.221213,0,0.0833288,0.150781,0,0.0376951
0.01,3.43309,-0.123269,3.35004,2.14995,0.00245458,3.40231,0.327188,0,0.220747,0.188465,0,0.0471161
0.012,3.88605,-0.0092307,3.44927,2.15117,0.00246407,3.40263,0.0591403,0,0.158556,0.226141,0,0.0565353
0.014,3.78798,-0.105017,3.41608,2.15117,0.00246407,3.40263,0.0652397,0,0.124695,0.263809,0,0.0659522
0.016,3.82768,-0.105018,3.56814,2.1532,0.00246407,3.40466,-0.0392012,0,-0.154985,0.301466,0,0.0753665
0.018,4.00704,-0.21904,3.35427,2.15236,0.00247368,3.40295,-0.136322,0,0.12055,0.339111,0,0.0847778
0.02,3.62267,0.104795,3.44858,2.15117,0.00246407,3.40263,0.124092,0,0.109457,0.376743,0,0.0941858
0.022,4.07658,0.0272628,3.50619,2.15341,0.00247355,3.40397,-0.159376,0,-0.0593571,0.41436,0,0.10359
0.024,3.69092,-0.524663,3.47234,2.15096,0.00245458,3.40332,0.309575,0,-0.0112859,0.451961,0,0.11299
0.026,4.2853,0.0865467,3.43417,2.15117,0.00246407,3.40263,0.0822151,0,0.107422,0.489544,0,0.122386
0.028,4.19511,-0.219046,3.4865,2.15236,0.00247368,3.40295,-0.139181,0,0.0670562,0.527107,0,0.131777
0.03,3.95318,-0.00924119,3.49556,2.15117,0.00246407,3.40263,0.116943,0,0.0678817,0.56465,0,0.141162
0.032,3.84017,-0.333098,3.55149,2.14995,0.00245458,3.40231,0.312756,0,0.0711191,0.60217,0,0.150543
0.034,4.14697,0.0865224,3.47004,2.14774,0.00244496,3.40096,0.516459,0,0.202167,0.639667,0,0.159917
0.036,4.18548,-0.10505,3.52304,2.14876,0.00244496,3.40198,0.361635,0,0.0342048,0.677138,0,0.169285
0.038,4.22192,-0.105051,3.48452,2.14774,0.00244496,3.40096,0.341558,0,0.160178,0.714583,0,0.178646
0.04,4.25935,-0.105052,3.53648,2.14774,0.00244496,3.40096,0.279589,0,0.12845,0.751999,0,0.188
0.042,4.44051,0.00898674,3.49928,2.14896,0.00245445,3.40129,0.0160291,0,0.0865342,0.789386,0,0.197347
