0.002,-1.40943,-1.61313,0.0690078,-0.565176,0.0412307,0.207518,-0.102782,1.79363e-17,-0.408111,-0.00327008,-0.390788,-0.00565725,-0.0625046,0.00169853,0,0.119183,0,-0.414972,0,0,0
0.004,-1.40944,-1.91108,-0.0450215,-0.645422,0.0404459,0.206736,-0.102786,-1.00465e-17,-0.407395,-0.00327008,-0.390072,-0.00565479,-0.062502,0.00169869,0,0.186812,0,-0.417996,0,0,0
0.006,-1.40945,-1.64047,0.0507817,-0.743668,0.0463789,0.218592,-0.10279,1.38851e-17,-0.408274,-0.00325304,-0.390312,-0.00565553,-0.0625137,0.00169892,0,0.446515,0,-0.314355,0,0,0
0.008,-1.40946,-1.93989,0.164813,-0.859465,0.0598218,0.218561,-0.102794,-2.14023e-17,-0.409022,-0.00325304,-0.391059,-0.00565818,-0.0625504,0.00169921,0,0.460339,0,-0.0796391,0,0,0
0.01,-1.40947,-1.66918,-0.159032,-0.992343,0.0546832,0.205845,-0.102797,-1.20508e-17,-0.409806,-0.00325303,-0.391843,-0.00566069,-0.0626214,0.00170039,0,0.475403,0,0.120663,0,0,0
0.012,-1.40947,-1.36963,0.146552,-0.796061,0.0554781,0.23041,-0.102802,-5.46409e-18,-0.40889,-0.00327006,-0.391567,-0.0056601,-0.0625755,0.00169928,0,0.282985,0,0.105154,0,0,0
0.014,-1.40948,-0.742495,0.164747,-0.795344,0.0495537,0.21859,-0.102807,5.11566e-19,-0.406195,-0.00332116,-0.390849,-0.00565788,-0.0625403,0.0016986,0,-0.243996,0,0.0865104,0,0,0
0.016,-1.40949,-1.55611,0.0689452,-0.795142,0.0428373,0.205923,-0.102811,2.60539e-17,-0.405295,-0.00333819,-0.390645,-0.005657,-0.0625627,0.00169925,0,-0.258795,0,0.0775476,0,0,0
0.018,-1.4095,-1.25747,-0.0450842,-0.680095,0.0487713,0.21779,-0.102815,2.60539e-17,-0.405295,-0.00333819,-0.390645,-0.005657,-0.0625627,0.00169925,0,-0.0827391,0,0.0736988,0,0,0
0.02,-1.40951,-1.52902,0.050702,-0.893182,0.0554957,0.205111,-0.102818,1.67278e-17,-0.405327,-0.00333819,-0.390677,-0.00565719,-0.0625969,0.00169971,0,0.0523245,0,0.0709143,0,0,0
