0.002,-0.000461552,-0.0011403,0.204786,-0.00187336,-0.000136836,0.203849,0.00407188,-0.00395132,0.00843306,0.000978359,-0.00302069,0.0168078,-0.0735342,0.0630163,-0.111768,0.0189419,-0.0125608,0.051287
0.004,-0.000461552,-0.0011403,0.204786,-0.00184621,-9.12242e-05,0.203934,0.00391527,-0.00379935,0.00810872,0.00433447,0.00385224,0.023706,-0.0737177,0.0635152,-0.113707,0.027319,0.00652174,0.0721619
0.006,-0.000434402,-0.00118591,0.204786,-0.00184621,-0.000182448,0.203934,0.0042868,-0.00453038,0.00779684,0.00318711,-0.00923523,0.0174309,-0.0637376,0.0470141,-0.115331,0.024983,-0.0264502,0.0598385
0.008,-0.000461552,-0.0011403,0.204786,-0.00184621,-0.000182448,0.204019,0.0035998,-0.00347898,0.00749696,0.00234346,-0.00679061,0.0241018,-0.0744976,0.0654251,-0.116662,0.0227863,-0.0231587,0.079873
0.01,-0.000461552,-0.0011403,0.204786,-0.00187336,-0.000136836,0.204019,0.00346135,-0.00334517,0.00720862,-0.00186847,0.00104078,0.0177219,-0.0742949,0.065482,-0.11772,0.0106808,-0.00321286,0.0667612
0.012,-0.000488702,-0.00118591,0.204786,-0.00184621,-0.000182448,0.204019,0.0028061,-0.00409366,0.00693136,0.00221952,-0.00527161,0.0130308,-0.0840383,0.0485693,-0.118524,0.0195543,-0.0185038,0.0545398
0.014,-0.000461552,-0.0011403,0.204786,-0.00184621,-0.000182448,0.204019,0.00322029,-0.00305906,0.00666477,0.001632,-0.00387619,0.00958147,-0.0728408,0.0665975,-0.119092,0.0176887,-0.0157455,0.0431598
0.016,-0.000461552,-0.0011403,0.204786,-0.00184621,-0.000182448,0.204019,0.00309643,-0.0029414,0.00640844,0.0012,-0.00285014,0.0070452,-0.0724211,0.0662986,-0.119441,0.0159377,-0.0131719,0.0325745
0.018,-0.000461552,-0.0011403,0.204786,-0.00184621,-0.000182448,0.204019,0.00297734,-0.00282827,0.00616196,0.000882354,-0.00209569,0.00518029,-0.071926,0.0659243,-0.119587,0.0142952,-0.010773,0.0227395
0.02,-0.000461552,-0.0011403,0.204786,-0.00181906,-0.000136836,0.204019,0.00286283,-0.00271949,0.00592496,0.00424219,0.00449595,0.00380904,-0.0713617,0.0654807,-0.119546,0.0227962,0.00832925,0.013613
