0.002,-1.53925,-0.00757161,3.05808,-1.53708,-0.00839263,3.05671,-0.166851,0.0263426,-0.395425,-0.237569,0.0243896,-0.708104,-1.32721,0.263916,1.14175,-1.47299,0.261182,-3.30147
0.004,-1.53976,-0.007526,3.05739,-1.53765,-0.00825579,3.05569,-0.171188,0.0261742,-0.392828,-0.250144,0.0360442,-0.656016,-1.36727,0.247339,1.14922,-1.53954,0.296887,-3.03315
0.006,-1.54023,-0.00748039,3.05654,-1.53811,-0.00811896,3.05467,-0.174025,0.0260138,-0.394412,-0.245048,0.0446229,-0.617783,-1.36972,0.231742,1.05677,-1.53484,0.328598,-2.7829
0.008,-1.54074,-0.00743477,3.05577,-1.53873,-0.00807334,3.05339,-0.178021,0.025861,-0.393893,-0.262872,0.0388508,-0.623526,-1.39962,0.21707,1.01882,-1.61944,0.304902,-2.69454
0.01,-1.5412,-0.00748039,3.05509,-1.53919,-0.00802773,3.05237,-0.180533,0.0235435,-0.391368,-0.254406,0.0346067,-0.593894,-1.39278,0.151555,1.03041,-1.60016,0.282718,-2.46334
0.012,-1.54169,-0.00748039,3.05433,-1.53966,-0.00798212,3.05117,-0.183572,0.0224224,-0.390993,-0.248151,0.031483,-0.594597,-1.39882,0.117645,0.990265,-1.57905,0.261955,-2.34468
0.014,-1.54221,-0.007526,3.05356,-1.5402,-0.00798212,3.04981,-0.187112,0.0202687,-0.390636,-0.254368,0.0231493,-0.617762,-1.41651,0.0607633,0.951611,-1.60249,0.216671,-2.32836
0.016,-1.54272,-0.00757161,3.05296,-1.54066,-0.00802773,3.04862,-0.190485,0.0182175,-0.386238,-0.248154,0.0109816,-0.612226,-1.42934,0.00903224,1.01102,-1.57394,0.149249,-2.21166
0.018,-1.54327,-0.00757161,3.05228,-1.54112,-0.00807334,3.04734,-0.194342,0.01735,-0.384078,-0.243554,0.00203781,-0.619355,-1.45313,-0.0120526,1.01429,-1.54448,0.0877564,-2.14909
0.02,-1.54386,-0.00748039,3.05168,-1.54169,-0.00811896,3.04589,-0.19931,0.0186958,-0.379993,-0.254545,-0.0045385,-0.647156,-1.5022,0.0205645,1.06328,-1.57582,0.031782,-2.1841
0.022,-1.54438,-0.00743477,3.051,-1.54218,-0.00821018,3.04453,-0.202101,0.0188915,-0.37813,-0.251879,-0.015417,-0.656408,-1.49713,0.0242454,1.05699,-1.5545,-0.0449178,-2.16259
0.024,-1.5449,-0.00738916,3.05015,-1.5427,-0.00825579,3.04316,-0.204759,0.0190779,-0.380415,-0.25348,-0.0173729,-0.663122,-1.48913,0.0275291,0.952258,-1.54702,-0.0885276,-2.13817
0.026,-1.54549,-0.00748039,3.04938,-1.54329,-0.00816457,3.04154,-0.20923,0.0159975,-0.380561,-0.265437,-0.0007004,-0.701895,-1.52467,-0.0471266,0.90342,-1.58291,-0.0503107,-2.25611
0.028,-1.54612,-0.00743477,3.04862,-1.54378,-0.00816457,3.04026,-0.214135,0.0163217,-0.380701,-0.259888,-0.000515,-0.685373,-1.56884,-0.037163,0.857074,-1.55031,-0.0672472,-2.16472
0.03,-1.54677,-0.00743477,3.04768,-1.54427,-0.00816457,3.03899,-0.219452,0.0155445,-0.384892,-0.255807,-0.000378677,-0.673225,-1.62074,-0.0538986,0.716471,-1.51722,-0.0824566,-2.07692
0.032,-1.54742,-0.007526,3.04674,-1.54481,-0.00816457,3.03754,-0.224516,0.0126322,-0.388884,-0.259961,-0.000278439,-0.686766,-1.66414,-0.120671,0.587314,-1.51455,-0.0960649,-2.0892
0.034,-1.54813,-0.00743477,3.04572,-1.5453,-0.00807334,3.03643,-0.230632,0.0142027,-0.394715,-0.255829,0.0118691,-0.651605,-1.73051,-0.0775322,0.420523,-1.47792,-0.0564759,-1.90235
0.036,-1.54872,-0.007526,3.04453,-1.54587,-0.00811896,3.03524,-0.233871,0.0113544,-0.404326,-0.263533,0.00269337,-0.636952,-1.72523,-0.141657,0.171662,-1.48751,-0.098011,-1.77687
0.038,-1.5494,-0.00757161,3.0435,-1.54652,-0.00811896,3.03387,-0.238895,0.0097277,-0.409421,-0.280016,0.00198042,-0.648816,-1.76269,-0.173643,0.042171,-1.53901,-0.109605,-1.75565
0.04,-1.55008,-0.007526,3.0424,-1.54715,-0.00816457,3.03268,-0.24368,0.0103505,-0.416303,-0.288501,-0.00457769,-0.634901,-1.79268,-0.150546,-0.123688,-1.56684,-0.14573,-1.6358
0.042,-1.55073,-0.007526,3.04129,-1.54775,-0.00816457,3.0314,-0.247591,0.0098576,-0.422857,-0.291109,-0.00336595,-0.635859,-1.80042,-0.155112,-0.273847,-1.57314,-0.152309,-1.57169
0.044,-1.55141,-0.00766283,3.04026,-1.54848,-0.00811896,3.02987,-0.251962,0.00613018,-0.42707,-0.311072,0.00356193,-0.67057,-1.81875,-0.236474,-0.361113,-1.65224,-0.132073,-1.65492
0.046,-1.55212,-0.00757161,3.03924,-1.54916,-0.00816457,3.02867,-0.256771,0.00801028,-0.431082,-0.31852,-0.00341481,-0.650897,-1.84665,-0.180449,-0.439446,-1.68946,-0.165134,-1.53341
0.048,-1.55282,-0.00757161,3.03813,-1.54981,-0.00816457,3.02748,-0.261351,0.00762883,-0.436932,-0.32049,-0.00251089,-0.63659,-1.86776,-0.180938,-0.557812,-1.704,-0.168889,-1.41972
0.05,-1.55361,-0.00761722,3.03711,-1.5506,-0.00811896,3.02612,-0.267652,0.00617955,-0.440475,-0.339863,0.00419065,-0.648549,-1.92885,-0.206829,-0.615598,-1.79028,-0.146055,-1.41
