0.004,1.07269,-0.81401,0.060265,-1.00135,-0.0954019,0.173095,-0.0347114,-1.77521e-17,-0.473876,-0.000868494,-0.362462,-0.00559246,-0.0583331,0.00160936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.935731,-0.215775,0.0602487,-1.00111,-0.0894753,0.16126,-0.0347137,1.16494e-17,-0.472939,-0.000885518,-0.362222,-0.00559172,-0.0583214,0.00160913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.935737,-1.05835,-0.0537638,-1.00139,-0.0962013,0.148576,-0.0347146,5.8486e-19,-0.473855,-0.000868485,-0.362498,-0.00559231,-0.0583673,0.00161023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.935743,-1.08547,-0.0720081,-1.00135,-0.0835546,0.173136,-0.0347175,5.33576e-18,-0.473818,-0.000868484,-0.362462,-0.00559246,-0.0583331,0.00160935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0.935749,-1.41312,0.0238117,-1.00187,-0.0827699,0.148579,-0.0347187,-4.29231e-18,-0.475666,-0.000834425,-0.362973,-0.00559403,-0.0583908,0.00161026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0.935755,-0.870122,0.0238121,-1.00187,-0.0887046,0.160453,-0.0347207,-4.29231e-18,-0.475666,-0.000834425,-0.362973,-0.00559403,-0.0583908,0.00161026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0.935761,0.0276424,0.137809,-1.00139,-0.0887075,0.16049,-0.0347232,2.38592e-18,-0.473851,-0.000868483,-0.362494,-0.00559255,-0.0583673,0.00160981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0.935767,-1.08555,-0.0720065,-1.00143,-0.0954327,0.147818,-0.0347244,1.443e-17,-0.473887,-0.000868484,-0.36253,-0.0055924,-0.0584015,0.00161068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.935773,-0.814056,0.0237793,-1.00143,-0.0895068,0.159692,-0.0347265,1.443e-17,-0.473887,-0.000868484,-0.36253,-0.0055924,-0.0584015,0.00161068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022,0.93578,-0.813276,0.0237797,-0.877078,-0.0962299,0.172428,-0.0347297,1.46315e-17,-0.473103,-0.000868484,-0.361746,-0.00558998,-0.0583304,0.00160951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024,0.935786,-0.814032,0.02378,-1.09941,-0.0903064,0.160543,-0.034731,5.8486e-19,-0.473855,-0.000868485,-0.362498,-0.00559231,-0.0583673,0.00161023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
